Genus_sp,plantFamily,plantMean,plantMeanProp,plantMeanPropLogit,plantGini,plantGiniAdj,plantGiniAdjLogit
Liquidambar_styraciflua,Altingiaceae,0.999999999999998,0.00999999999999998,-4.595119850134592,0.593833882966487,0.593833882966487,0.37983739076988704
Liriodendron_tulipifera,Magnoliaceae,4.314166666666665,0.04314166666666665,-3.0991660743306912,0.733812988418557,0.733812988418557,1.0140550991654773
Loasa_insons,Loasaceae,8.93333333333333,0.0893333333333333,-2.3218022401798244,0.788009107007339,0.788009107007339,1.312966330739487
Lobelia_polyphylla,Campanulaceae,2.88448275862069,0.0288448275862069,-3.5165555718944934,0.608099747276141,0.608099747276141,0.4393315764564836
Lomaridium_plumieri,Blechnaceae,2.58333333333333,0.0258333333333333,-3.6299167569869235,0.156369600874795,0.156369600874795,-1.685492041543308
Lomelosia_prolifera,Caprifoliaceae,16.8133333333333,0.168133333333333,-1.598914856145869,0.397018105082059,0.397018105082059,-0.4179052868766908
Lupinus_arboreus,Fabaceae,44.8793103448276,0.448793103448276,-0.20554824406527564,0.333926441150899,0.333926441150899,-0.6904793805177302
Lupinus_argenteus,Fabaceae,6.53333333333333,0.0653333333333334,-2.6606875889239623,0.648838845883181,0.648838845883181,0.6139391278050756
Lupinus_perennis,Fabaceae,7.775984899651006,0.07775984899651006,-2.473180438873668,0.551423802332585,0.551423802332585,0.2064251032133852
Lupinus_pilosus,Fabaceae,6.73333333333333,0.0673333333333333,-2.6283924578242224,0.390753482127875,0.390753482127875,-0.44414609639786456
Lupinus_polyphyllus,Fabaceae,2.9,0.029,-3.5110306383048506,0.469121371517632,0.469121371517632,-0.12367190066862876
Lupinus_sericeus,Fabaceae,1.48275862068966,0.0148275862068966,-4.196327286537207,0.39983680130559,0.39983680130559,-0.40614514893681813
Lupinus_texensis,Fabaceae,0.45,0.0045,-5.399167726727977,0.539861895794101,0.539861895794101,0.15978668736090948
Lycopus_uniflorus,Lamiaceae,9.19521857934426,0.0919521857934426,-2.2900283137211765,0.61849282166262,0.61849282166262,0.4831559190875522
Lysimachia_borealis,Primulaceae,2.59166666666667,0.0259166666666667,-3.626610595428535,0.739822333642163,0.739822333642163,1.0450453379033744
Lythrum_salicaria,Lythraceae,10.4833333333333,0.104833333333333,-2.1446381332050226,0.394896391905366,0.394896391905366,-0.42677626489672116
Madhuca_longifolia,Sapotaceae,7.50412222231667,0.0750412222231667,-2.511711579766325,0.168188061057042,0.168188061057042,-1.5985236159634302
Maianthemum_canadense,Asparagaceae,6.364285714285713,0.06364285714285713,-2.6887098687270004,0.86571106334728265,0.86571106334728265,1.863557485524159
Maianthemum_paniculatum,Asparagaceae,15.625,0.15625,-1.6863989535702288,0.484040677966103,0.484040677966103,-0.06385898053688921
Maianthemum_racemosum,Asparagaceae,3.725,0.03725,-3.25214182786945,0.572972358093506,0.572972358093506,0.2939887285992016
Marsilea_minuta,Marsileaceae,5.275,0.05275,-2.8879992775425345,0.753179639596222,0.753179639596222,1.1156429783358834
Maytenus_boaria,Celastraceae,8.2,0.082,-2.4154781433562373,0.513779798814939,0.513779798814939,0.05513315654297126
Medicago_polymorpha,Fabaceae,12.3,0.123,-1.9643226369997655,0.571195627210511,0.571195627210511,0.2867309481110112
Melampyrum_pratense,Orobanchaceae,1.58333333333333,0.0158333333333333,-4.129677837030924,0.512756467439787,0.512756467439787,0.05103694516526944
Melanthera_scandens,Asteraceae,1.23333333333333,0.0123333333333333,-4.383039634929344,0.732478240952819,0.732478240952819,1.0072327300057362
Melhania_ovata,Malvaceae,2.69827586206896,0.0269827586206896,-3.585203709415475,0.668292136091027,0.668292136091027,0.7004707538459802
Melilotus_albus,Fabaceae,6.47457627118644,0.0647457627118644,-2.6703501461706565,0.431892038274056,0.431892038274056,-0.27413582851224505
Meniscium_macrophyllum,Thelypteridaceae,6.575,0.06575,-2.6538843973077193,0.577753431720051,0.577753431720051,0.3135577605063362
Mentzelia_laevicaulis,Loasaceae,1.66666666666667,0.0166666666666667,-4.077537443905717,0.667796610169493,0.667796610169493,0.6982362500674232
Miconia_albicans,Melastomataceae,10.4866666666667,0.104866666666667,-2.1442829810144266,0.417182971112094,0.417182971112094,-0.33434838777957576
Microstachys_serrulata,Euphorbiaceae,1.00534482758621,0.0100534482758621,-4.5897352658320925,0.77279332785746,0.77279332785746,1.2241515958958593
Mimosa_albida,Fabaceae,16.2,0.162,-1.643421765249699,0.257271395689476,0.257271395689476,-1.060199165823187
Mimosa_tenuiflora,Fabaceae,17.382577442017,0.17382577442017,-1.5587521769845663,0.576064612571208,0.576064612571208,0.3066387735275187
Mimulus_guttatus,Phrymaceae,13.133333333333301,0.131333333333333,-1.8892208483868596,0.525380710659898,0.525380710659898,0.10161017641078043
Mimulus_verbanaceus,Phrymaceae,0.742857142857142,0.00742857142857142,-4.894965408779569,0.572398190045249,0.572398190045249,0.29164247366787815
Mitchella_repens,Rubiaceae,2.05,0.0205,-3.866617351240233,0.634559735427865,0.634559735427865,0.551828597383664
Mitella_diphylla,Saxifragaceae,3.675,0.03675,-3.2661747578474216,0.872862139205968,0.872862139205968,1.9265056114520396
Monarda_fistulosa,Lamiaceae,8.496813139943399,0.08496813139943399,-2.3766826322647274,0.42545625491191863,0.42545625491191863,-0.30041410495611476
Monarda_punctata,Lamiaceae,9.81827801382069,0.0981827801382069,-2.2175810158186104,0.484337576333133,0.484337576333133,-0.06267019832899887
Montigena_novae-zelandiae,Fabaceae,11.2843137254902,0.112843137254902,-2.0620231246292504,0.625994787141617,0.625994787141617,0.515072308374198
Morinda_pubescens,Rubiaceae,7.21627906976745,0.0721627906976745,-2.5539317476328915,0.454414314871937,0.454414314871937,-0.18285049953979338
Morus_alba,Moraceae,1.33333333333333,0.0133333333333333,-4.304065093204172,0.812711864406782,0.812711864406782,1.467728373365701
Munnozia_pinnatipartita,Asteraceae,15.8,0.158,-1.6731849812153599,0.373346206107417,0.373346206107417,-0.517888069612677
Myrica_faya,Myricaceae,2.7,0.027,-3.584547216181676,0.35655994978029,0.35655994978029,-0.5903264728513518
Myrrhidendron_donnell-smithii,Apiaceae,1.675,0.01675,-4.072465153040843,0.936082300362597,0.936082300362597,2.6841070876903284
Myrsine_guianensis,Primulaceae,5.59316666666667,0.0559316666666667,-2.826067842988122,0.352886719620038,0.352886719620038,-0.6063742669307255
Nabalus_altissimus,Asteraceae,2.30833333333333,0.0230833333333333,-3.745290496884491,0.704338248791534,0.704338248791534,0.8680426393004227
Nandina_domestica,Berberidaceae,4.69166666666667,0.0469166666666667,-3.011329364641526,0.632718186470785,0.632718186470785,0.543895682306073
Nectandra_lineata,Lauraceae,8.53333333333333,0.0853333333333333,-2.371994544366214,0.598616260593222,0.598616260593222,0.39970283357930275
Neoblechnum_brasiliense,Blechnaceae,1.475,0.01475,-4.201652333289284,0.466436847649144,0.466436847649144,-0.13445480109314945
Nephrophyllidium_crista-galli,Menyanthaceae,9.87096774193548,0.0987096774193548,-2.211644437864527,0.61111111111111,0.61111111111111,0.45198512374305283
Nicotiana_attenuata,Solanaceae,2.91666666666667,0.0291666666666667,-3.5051283045103863,0.555447941888622,0.555447941888622,0.222707726508889
Nothofagus_dombeyi,Nothofagaceae,14.975,0.14975,-1.7365631868917462,0.439366929817116,0.439366929817116,-0.24373173270306575
Oenothera_biennis,Onagraceae,28.3678571428571,0.283678571428571,-0.926287182352917,0.518122176059982,0.518122176059982,0.07252047095134677
Olea_europaea,Oleaceae,1.39239463604167,0.0139239463604167,-4.260123367506287,0.355069390012479,0.355069390012479,-0.5968294943952401
Olearia_paniculata,Asteraceae,1.71016666666667,0.0171016666666667,-4.051329765262586,0.385484063678115,0.385484063678115,-0.46633500968021097
Onoclea_sensibilis,Onocleaceae,15.4152542372881,0.154152542372881,-1.7023963861684668,0.520141798259747,0.520141798259747,0.08061081614587867
Opuntia_cespitosa,Cactaceae,0.133333333333333,0.00133333333333333,-6.618738983517222,0.985169491525427,0.985169491525427,4.196127256532266
Opuntia_engelmanii,Cactaceae,16.6333333333333,0.166333333333333,-1.6118398351261027,0.56088448082606,0.56088448082606,0.24475244770211618
Oreopanax_palamophyllus,Araliaceae,12.2666666666667,0.12266666666666701,-1.9674163542762737,0.497904384672072,0.497904384672072,-0.008382510395492445
Ouratea_spectabilis,Ochnaceae,2.91615079359833,0.0291615079359833,-3.5053105046200437,0.464909854908162,0.464909854908162,-0.14059170181955408
Oxalis_stricta,Oxalidaceae,22.7416666666667,0.227416666666667,-1.222956006898642,0.544217475824634,0.544217475824634,0.17733316362147664
Palicourea_padifolia,Rubiaceae,16.1,0.161,-1.6508063414827432,0.206969154647858,0.206969154647858,-1.3432923471185807
Palicourea_rigida,Rubiaceae,6.54366666666667,0.0654366666666667,-2.6589966432746603,0.59843347041043,0.59843347041043,0.3989421360197019
Palicourea_sp,Rubiaceae,14.3666666666667,0.143666666666667,-1.7851639070061331,0.283809823429943,0.283809823429943,-0.9256413633823956
Panax_trifolius,Araliaceae,12.295075757575749,0.1229507575757575,-1.9647792092117995,0.6668309724732651,0.6668309724732651,0.6938866478474065
Pascopyrum_smithii,Poaceae,11.075,0.11075,-2.0831030019033197,0.551057887286224,0.551057887286224,0.2049459077132504
Pasithea_caerulea,Asphodelaceae,4.95416666666667,0.049541666666666706,-2.954130258047556,0.7379010748817265,0.7379010748817265,1.0350877614557228
Passiflora_apetala,Passifloraceae,16.2083333333333,0.162083333333333,-1.642808046154208,0.596723454315718,0.596723454315718,0.3918312362827463
